noise,rmse_neural,rmse_sindy,rmse_pysr
0.0,0.024451041055536315,0.043960822793753754,0.9890346904086021
0.005,0.025027290444168616,0.04468814174531773,0.9886828884131316
0.01,0.02914887829472988,0.04595951435916984,0.9883566443028863
0.02,0.030778718567457505,0.04994753124516863,0.9877809290492657
