noise,rmse_neural,rmse_sindy
0.0,0.00870262593386125,0.042267225826827744
0.005,0.009850974484807314,0.04249789088051448
0.01,0.012205193969091532,0.043260310748858936
0.02,0.020549679287035123,0.04625725585126146
0.05,0.048192820835139434,0.06359746378835508
0.1,0.09605715762586317,0.1043372737852511
0.2,0.19084701226482745,0.1957552474852194
